condition;test;comparison;correction;type_ci;distance;1%;5%;10%;groups;differences;ssize;normalData;ssizediff;what;runs;perm;boot;1%_perCentage;5%_perCentage;10%_perCentage
102;NPT;Eta3 ~ Eta1;BY;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;fdr;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;hochberg;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;holm;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;hommel;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;none;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;CIO;Eta3 ~ Eta1;NA;CI_basic;NA;496;487;462;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.026;0.076
102;CIO;Eta3 ~ Eta1;NA;CI_bca;NA;499;493;480;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.002;0.014;0.04
102;CIO;Eta3 ~ Eta1;NA;CI_percentile;NA;499;494;487;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.002;0.012;0.026
102;CIO;Eta3 ~ Eta1;NA;CI_standard_z;NA;499;493;481;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.002;0.014;0.038
102;CIP;Eta3 ~ Eta1;NA;CI_basic;NA;464;402;356;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.072;0.196;0.288
102;CIP;Eta3 ~ Eta1;NA;CI_bca;NA;464;401;358;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.072;0.198;0.284
